Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 7,ERF168046,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, altering the stocking rate, duration or intensity of grazing, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and re-establishing or rejuvenating a pasture by seeding.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168046.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 8,ERF168048,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168048.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Corporate Carbon Advisory Pty Ltd,n/a,n/a,Primary Industries Efficiency Project (Revoked),ERF168112,Carbon Credits (Carbon Farming Initiative-Industrial Electricity and Fuel Efficiency) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00783,Energy Efficiency,n/a,"This project improves energy (electricity) efficiency by: (a) upgrading existing energy-consuming equipment; (b) changing the way existing energy consuming equipment is controlled or operated; (c) changing the energy sources or mix of energy sources used by existing energy-consuming equipment; (d) upgrading equipment that affects the energy consumption of existing energy-consuming equipment; (e) installing equipment that generates electricity in substitution for the electricity obtained from an electricity grid, (f) modifying, installing, removing or replacing equipment that affects the energy consumption of existing energy-consuming equipment.","Air compression; Behavioural changes; Boiler upgrade; Building management control system; Cleaning, washing; Cloud computing; Co-generation or tri-generation; Cold room or freezer room; Communications; Computer upgrades; Computers, office equipment; Control systems and processes; Cooking; Crushing or grinding equipment; Electric resistance water heater; Electricity generation equipment/Generators; Electricity supply; Fuel switching; Glazing; HVAC - Air handling, fans, ventilation; HVAC - Air heating and cooling; HVAC - Air heating, cooling, handling; High speed roller door; Improved day-lighting utilisation; Insulation; Lighting; Materials handling, conveying; Milling, mixing, grinding; Motors; On-site renewable energy generation; Other; Other machines; People movement, lifts, escalators; Power factor correction; Process drives; Process heat; Refrigerated display cabinets; Refrigeration; Refrigeration and freezing; Server virtualisation; Turbines; Uninterruptable power supply; Upgrade heat exchangers; Variable speed drives; Waste heat capture and re-use; Water heater; Water/liquid pumping",n/a,12/10/2021,12/10/2021,11/10/2028,Nation Wide,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,17/04/2024 This project has been revoked under section 30 of the CFI Rule.,Yes
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,O'Sullivan Carbon Project,ERF168116,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,17/11/2021,17/11/2021,16/11/2046,Victoria,3730,"1/TP159876, 1/TP411485, 2/TP411485, 6640/970, 9347/410
 
The project is in the Moira local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168116.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
D J & B K MAKIM PTY LTD,Climate Friendly Pty Ltd,n/a,Garrawilla,ERF168143,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, applying lime or other ameliorants to remediate acid soils, applying gypsum to manage sodic or magnesic soils, re-establishing or rejuvenating a pasture by seeding or pasture cropping, and altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,31/05/2022,31/05/2022,30/05/2047,New South Wales,2379,"1/DP1188456, 1/DP134083, 1/DP134141, 1/DP134185, 1/DP755496, 2/DP134083, 2/DP134102, 2/DP134141, 2/DP134185, 2/DP755496, 20/DP755496, 21/DP755482, 21/DP755496, 22/DP755482, 22/DP755496, 23/DP755482, 24/DP755482, 25/DP755496, 26/DP755496, 296/DP755496, 3/DP134083, 3/DP134102, 3/DP134141, 3/DP134185, 3/DP755496, 4/DP134102, 4/DP134185, 4/DP755496, 5/DP134102, 5/DP134185, 5/DP755496, 6/DP134102, 6/DP134185, 62/DP755482, 63/DP755482, 64/DP755482, 64/DP755496, 65/DP755482, 65/DP755496, 66/DP755482, 66/DP755496, 67/DP755496, 68/DP755496, 7/DP134185, 78/DP755482, 8/DP134185, 92/DP755496, 93/DP755496, 98/DP755496, 99/DP755496
 
The project is in the Warrumbungle local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168143.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
NATURI AGGREGATION PTY LIMITED,n/a,n/a,Naturi Aggregation Soil Carbon Project,ERF168195,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing",n/a,24/11/2021,24/11/2021,23/11/2046,Queensland,4417,"6/CPWV968, 7/CPWV1257
 
The project is in the Maranoa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168195.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Johnson Carbon Project 1,ERF168251,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,28/01/2022,28/01/2022,27/01/2047,Tasmania,7325,"111175/6, 152904/1, 210953/1, 223846/1
 
The project is in the Waratah-Wynyard local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168251.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Johnson Carbon Project 2,ERF168252,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,28/01/2022,28/01/2022,27/01/2047,Tasmania,7325,"136370/1, 153991/1, 21483/1, 87088/1
 
The project is in the Waratah-Wynyard local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168252.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
PIC AUSTRALASIA PTY LTD,n/a,n/a,Bonnie Doon Piggery Bioenergy Project,ERF168319,Carbon Credits (Carbon Farming Initiative-Animal Effluent Management) Methodology Determination 2019 (Compilation No. 1),https://www.legislation.gov.au/Details/F2022C00226,Agriculture,n/a,This project collects and combusts methane generated from animal effluent at an emissions destruction treatment facility.,A new facility that treats animal effluent by emissions destruction,n/a,7/12/2021,6/06/2023,5/06/2035,New South Wales,2652,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,Yes,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
JBS Australia Pty Limited,NORTHMORE GORDON ENVIRONMENTAL PTY LTD,n/a,JBS Beef City Biogas to Boiler Fuel Substitution,ERF168366,Carbon Credits (Carbon Farming Initiative-Industrial and Commercial Emissions Reduction) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01789,Energy Efficiency,"Regression model of baseline emissions determined using fuel, electricity and industrial process emission inputs","This project reduces energy (fuel/electricity) emissions by (a) modifying, removing or replacing existing emissions-producing equipment; (c) changing the way existing emissions-producing equipment is controlled or operated; (d) changing the energy sources or mix of energy sources used by existing emissions-producing equipment and (e) modifying, installing, removing or replacing equipment that affects the production of emissions by existing emissions-producing equipment.",Boiler upgrade; Control systems and processes; Fuel switching; Insulation; Process heat; Upgrade heat exchangers; Waste heat capture and re-use; Water heater,n/a,21/01/2022,20/07/2023,19/07/2030,"New South Wales, Queensland","2337, 4356",n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,1892,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,JBS Australia Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,05/09/2023 Variation of project method - from the Carbon Credits (Carbon Farming Initiative-Industrial Electricity and Fuel Efficiency) Methodology Determination 2015 (F2015C00783) to Carbon Credits (Carbon Farming Initiative-Industrial and Commercial Emissions Reduction) Methodology Determination 2021 (F2021L01789).,No
James Pengelly Ford,MITSUI E&P AUSTRALIA PTY LIMITED,n/a,Paroo Station Regeneration Project,ERF168402,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,n/a,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) and where native vegetation was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,17/12/2021,17/12/2021,16/12/2046,Western Australia,6642,"105/D220383/3011/117, 38/D220383/3011/118, 4/D220383/3011/116
 
The project is in the Meekatharra, Wiluna local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF168402.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Cleanaway Solid Waste Pty Ltd,n/a,n/a,Stawell Landfill Gas Flaring Project,ERF168431,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2021C00494,Waste,n/a,This project installs a new landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,New project,n/a,23/06/2022,1/11/2022,31/10/2034,Victoria,3380,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,5598,5598,0,0,0,0,0,0,0,0,0,0,0,0,5598,0,Cleanaway Solid Waste Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
YARROWYCK ENVIRONMENTAL PROJECTS PTY LIMITED,n/a,n/a,Reforestation Project,ERF168437,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,22/12/2021,1/08/2022,31/07/2047,New South Wales,2358,"1/DP127768, 1/DP186610, 16/DP753671, 33/DP753671, 34/DP753671, 37/DP753671, 40/DP753671, 41/DP753671, 50/DP753671
 
The project is in the Uralla local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168437.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,"09/09/2022 Variation to the project area - areas listed in the project have been removed

17/04/2025 - Variation to participant name - from TELSTRA ENERGY (GENERATION) PTY LTD to YARROWYCK ENVIRONMENTAL PROJECTS PTY LIMITED",No
Corporate Carbon Advisory Pty Ltd,n/a,n/a,South Industries Efficiency Project (Revoked),ERF168461,Carbon Credits (Carbon Farming Initiative-Industrial Electricity and Fuel Efficiency) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00783,Energy Efficiency,n/a,"This project improves energy (electricity) efficiency by: (a) upgrading existing energy-consuming equipment; (b) changing the way existing energy consuming equipment is controlled or operated; (c) changing the energy sources or mix of energy sources used by existing energy-consuming equipment; (d) upgrading equipment that affects the energy consumption of existing energy-consuming equipment; (e) installing equipment that generates electricity in substitution for the electricity obtained from an electricity grid, (f) modifying, installing, removing or replacing equipment that affects the energy consumption of existing energy-consuming equipment.","Air compression; Behavioural changes; Boiler upgrade; Building management control system; Cleaning, washing; Cloud computing; Co-generation or tri-generation; Cold room or freezer room; Communications; Computer upgrades; Computers, office equipment; Control systems and processes; Cooking; Crushing or grinding equipment; Electric resistance water heater; Electricity generation equipment/Generators; Electricity supply; Fuel switching; Glazing; HVAC - Air handling, fans, ventilation; HVAC - Air heating and cooling; HVAC - Air heating, cooling, handling; High speed roller door; Improved day-lighting utilisation; Insulation; Lighting; Materials handling, conveying; Milling, mixing, grinding; Motors; On-site renewable energy generation; Other; Other machines; People movement, lifts, escalators; Power factor correction; Process drives; Process heat; Refrigerated display cabinets; Refrigeration; Refrigeration and freezing; Server virtualisation; Turbines; Uninterruptable power supply; Upgrade heat exchangers; Variable speed drives; Waste heat capture and re-use; Water heater; Water/liquid pumping",n/a,12/10/2021,12/10/2021,11/10/2028,Nation Wide,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,17/04/2024 This project has been revoked under section 30 of the CFI Rule.,Yes
